"","x"
"1",NA
"2",0.914746155272123
"3",1.73809122371405
"4",1.17594621886715
"5",4.20805822341056
"6",1.79716601873751
"7",1.37483649154976
"8",2.64068497098918
"9",6.77163166808425
"10",5.69629465880588
"11",3.58128399660267
"12",4.25689448354553
"13",2.70108407366668
"14",2.52107594358862
"15",1.51270683499829
"16",1.9707893906692
"17",1.18483996502944
"18",2.65525224835326
"19",3.20887047335717
"20",1.5952468327465
"21",4.19580014582087
"22",3.39787209309154
"23",2.18739981215742
"24",6.79247964401286
"25",7.23971193962899
"26",5.21374874467912
"27",3.19961407547012
"28",1.98229763461098
"29",4.17781193228922
"30",3.12597056909565
"31",3.59534489427025
"32",6.99426815764632
"33",3.76434233773428
"34",4.39296940249399
"35",15.667806041249
"36",11.9075596121531
"37",7.03699565256029
"38",13.6519368343993
"39",19.0028732504471
"40",21.6693056687801
"41",31.317255737251
"42",22.7497522660368
"43",22.1407118226679
"44",28.6329130104265
"45",30.3024569273317
"46",31.1759026920772
"47",28.6498782381184
"48",31.0909006162856
"49",31.2766667870126
"50",54.3173770063787
"51",54.990296585785
"52",69.660437237728
"53",49.5031279093021
"54",44.1786006499654
"55",47.9586227343059
"56",45.9369368701823
"57",72.47290359852
"58",75.7748567008699
"59",90.5282060720856
"60",99.7923417920335
"61",90.3442951202656
"62",99.2306248914345
"63",119.511128896707
"64",135.434976154088
"65",124.625311362316
"66",146.549176704488
"67",201.619164089016
"68",233.767246489295
"69",210.813849270862
"70",228.576427344669
"71",236.117021057385
"72",230.924047067615
"73",263.028214190834
"74",259.638576258592
"75",331.611050677895
"76",349.760028065621
"77",351.575547746765
"78",418.424106298826
"79",370.13763600017
"80",484.282106156051
"81",603.487775038351
"82",622.572115643813
"83",701.861951910897
"84",579.51530226791
"85",528.150838218653
"86",688.529956855009
"87",647.593636983357
"88",628.038620157073
"89",892.811334036734
"90",1084.33734538973
"91",1065.43983505833
"92",1010.73612034677
"93",882.968908889976
"94",961.233658507698
"95",1009.48689360896
"96",949.638216411201
"97",723.702780524401
"98",733.918262786272
"99",705.67905151705
"100",987.977925203703
"101",835.819888465038
"102",934.900827488382
"103",1090.64193844654
"104",1090.58377104178
"105",1078.78495661239
"106",858.035002318656
"107",987.838206266915
"108",1091.70336532454
"109",1115.11334750043
"110",1028.95570865853
"111",900.85107050869
"112",818.885612847557
"113",770.467144527614
"114",719.430727213038
"115",537.120844362581
"116",596.769004995887
"117",533.058705758823
"118",611.382218280874
"119",486.395335741875
"120",502.815453425462
"121",452.085939814987
"122",536.14874476858
"123",594.528731247132
"124",674.44092916025
"125",573.017758452241
"126",405.073815539117
"127",387.167075653408
"128",505.689891666594
"129",413.488388620118
"130",353.601387922957
"131",405.559095509031
"132",321.8174596318
"133",309.823705124704
"134",365.440988913309
"135",286.45752240118
"136",400.330186252133
"137",345.707896821921
"138",305.140518018409
"139",291.314364003016
"140",259.312068455524
"141",223.965783262789
"142",194.432481558864
"143",193.963044403335
"144",226.775409240674
"145",209.068320119977
"146",184.424380326699
"147",173.945040638235
"148",161.194211277054
"149",153.732825131009
"150",150.805980642988
"151",154.827668918352
"152",178.405352835884
"153",157.19926292578
"154",161.988550238246
"155",126.264025611278
"156",130.582182371007
"157",129.806322682851
"158",106.992744356566
"159",145.14155715792
"160",120.811210666264
"161",141.850281109804
"162",101.362877314979
"163",84.0412894097126
"164",82.4396576973487
"165",87.268291884518
"166",82.7381442073503
"167",97.0294662476484
"168",70.5926601131729
"169",57.9855230405482
"170",46.9291552296561
"171",53.5181429827339
"172",57.5803071682828
"173",59.6599422675393
"174",51.9063564328201
"175",56.400183989517
"176",48.7182077402622
"177",45.3308880512104
"178",34.5318082897499
"179",44.8093616286374
"180",48.2681975995797
"181",51.533158546283
"182",48.7900554194394
"183",47.8100610233699
"184",48.3750156437873
"185",41.6543305815091
"186",37.0781154407876
"187",34.588962526494
"188",34.565294911173
"189",33.7031166373056
"190",32.1413426102338
"191",30.3796162809433
"192",27.1694110364237
"193",26.1117723836399
"194",28.1570447822371
"195",27.7805026511531
"196",28.3931285837308
"197",24.4470064730862
"198",20.0592548260687
"199",17.7086791824344
"200",16.4708847239613
"201",17.4700576028526
"202",17.5805133149226
"203",16.0614995714617
"204",12.6013292964629
"205",15.6657662949051
"206",20.7951979665554
"207",27.283999129067
"208",23.1316992296578
"209",23.1629403452356
"210",18.8120824330879
"211",14.344951318487
"212",13.8568433973538
"213",14.3236279121818
"214",15.1765361401279
"215",10.8017826019671
"216",8.98610870703386
"217",7.65812934157413
"218",7.3412126903929
"219",6.99974569153569
"220",6.68684298749169
"221",6.4290567158534
"222",6.21648198209927
"223",7.41205454786408
"224",7.81333535450157
"225",7.02870516088518
"226",5.81028564060057
"227",7.13621287002854
