"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.94144610805491,0.711470911349408,2.67230122478838,2.8486013343786,3.44114306542807,3.89872052105853,4.39520898095559,5.18005616763199,5.45329570786787
"2",3,9,3.13432330192219,0.539999410775831,2.1666111784829,2.30204702425984,2.75520611611397,3.10336703133652,3.47971805881083,4.07221034669401,4.2778905936441
"3",4,10,2.58649110371852,0.439145906736182,1.7984170736283,1.90896080894653,2.27833200860074,2.56168062892785,2.86762218007402,3.34866472410935,3.51550906625783
"4",5,11,1.92158824800322,0.341349455498066,1.31169681252123,1.39664055772882,1.68168634091648,1.90141412962799,2.13951432802692,2.51536285741531,2.64608124416861
"5",6,12,1.58141543860199,0.276591299021984,1.08647009765485,1.15557623485714,1.38712953981953,1.56531962330124,1.75816763137448,2.06216756764959,2.16779618137312
"6",7,13,1.33532708103184,0.230057900060273,0.923049188614409,0.980749411337918,1.17381041656272,1.32213866922523,1.48247685726486,1.73489848742271,1.82252518618009
"7",8,14,1.03177535786486,0.189356427996915,0.694567223716603,0.741280447280616,0.898543505112121,1.02021489296881,1.15241494852899,1.36171089724171,1.4346523241771
"8",9,15,0.642257635823264,0.144739283442056,0.390604584608748,0.42411178754915,0.539634865934342,0.63141814536211,0.733078350806337,0.897387634042937,0.955470283341011
"9",10,16,0.436105622017937,0.117866384329172,0.23655958994539,0.261949618026473,0.351913128255273,0.425534225748043,0.508794224900607,0.646335145562509,0.695670948266397
"10",11,17,0.49960294963468,0.126128584546178,0.283777674412792,0.311748479283134,0.409764875910382,0.489029933254469,0.577932740597975,0.723534756570599,0.775464178491041
"11",12,18,0.488987645036088,0.127581289773227,0.271775298658011,0.299683199017981,0.397990529545148,0.477937819969893,0.567958770183829,0.715997232698161,0.768939745226923
"12",13,19,0.514245280702768,0.138985211000748,0.278945389815211,0.308884701436998,0.414967513111259,0.501779743989261,0.599957936321212,0.762142888275324,0.820318482510414
"13",14,20,0.84572576456486,0.19562525033515,0.506778259600772,0.551645880174702,0.706880731177272,0.83069113523271,0.968202150833869,1.19110425376927,1.27005482716521
"14",15,21,1.18768937192174,0.255019326343076,0.74155238314071,0.801570489689381,1.00721595497541,1.16948759444109,1.34834241107427,1.63591090322154,1.73720419054456
"15",16,22,1.30816464824605,0.287595550929575,0.806528225222905,0.87367948429949,1.10445171398281,1.28715044663805,1.48899592142012,1.81434899298717,1.92914870301231
"16",17,23,2.21353205641473,0.387149190507329,1.5207492799116,1.61747822681469,1.94158702883583,2.19100249063926,2.46093487998231,2.88644837104059,3.03429840262899
"17",18,24,2.47715066719233,0.403496111396648,1.75027501289844,1.85286629914336,2.19439617982514,2.45527733139332,2.73607548269731,3.17605714316521,3.32828856869751
"18",19,25,2.24908062446739,0.366346423012983,1.58912805391084,1.68227381092455,1.99235920358605,2.22922115592977,2.48416635964637,2.88363912518507,3.02185467829384
"19",20,26,2.01543674687109,0.324018500465715,1.43105123514902,1.51368713963475,1.78847369974624,1.99809961734014,2.2235117330993,2.57633273103465,2.69831522552906
"20",21,27,1.37490589628948,0.244237223841883,0.938525557467159,0.999303227324467,1.20325489513073,1.36047121480381,1.53083308448456,1.79975456633937,1.89328421863992
"21",22,28,1.24972088236043,0.212183142351545,0.868945332491431,0.922357004483153,1.10082694040783,1.2377331479342,1.38555563404267,1.61798207143519,1.69859663770487
"22",23,29,1.12099927841433,0.187642866628662,0.783813896309347,0.831213070934732,0.989388280720122,1.11054706118161,1.24122362582911,1.44644408337635,1.51756248353279
"23",24,30,0.81142380935878,0.154200672957102,0.537828862737728,0.575502763768551,0.702792973105742,0.801677037725257,0.909438575073366,1.08059815664179,1.14038321443611
"24",25,31,0.860840338681098,0.157985602549792,0.579497736152856,0.618471943946446,0.749681109714708,0.851195104919149,0.961493475329532,1.13611520282192,1.19697236730866
"25",26,32,0.783764047679974,0.151708897071231,0.515127711382688,0.551997751108936,0.676817543976286,0.773997593395568,0.880073389815172,1.04885103021999,1.10787566870755
"26",27,33,0.921641290933494,0.166365580353271,0.624872973790972,0.666097807555002,0.804653787001313,0.91165062657435,1.02774615409608,1.21126954994708,1.275162049221
"27",28,34,1.8709885185932,0.242169995104387,1.42669198270604,1.49125333166727,1.70245814856244,1.86055059122322,2.02814474152719,2.28633147621669,2.37459029323754
"28",29,35,2.14210623388432,0.266331435263049,1.65214038801549,1.72364656263163,1.95696505868924,2.13107860020166,2.31523029174344,2.5981851377303,2.69472889523313
"29",30,36,2.25770597177398,0.27855935667704,1.74498360038142,1.81987090394285,2.06410436186542,2.24625999851423,2.43883451823102,2.73458733165065,2.83546227648861
"30",31,37,2.66768685448248,0.293365036340129,2.12384024494922,2.20416880447103,2.46439484093101,2.65694082866651,2.85926768884393,3.1678628319255,3.27259286503164
"31",32,38,2.60991037434753,0.262717509962322,2.12048001089995,2.19332688691818,2.42823590677235,2.60110050698932,2.78198326983529,3.05654666467621,3.14940005099217
"32",33,39,2.65756567939736,0.237046552446934,2.21330170367585,2.28004401988682,2.49407252660694,2.6505210747594,2.81338076277558,3.05911808948705,3.14185952471992
"33",34,40,2.93361405286172,0.227220862514946,2.50516541844529,2.57013850606627,2.77732713987064,2.92774973616465,3.08350902174637,3.31709391625541,3.39538658312236
"34",35,41,2.32271568438068,0.186151137015022,1.97219539313563,2.02523743933378,2.19459618361527,2.31774463179728,2.44541692879263,2.63715118693594,2.70148375882747
"35",36,42,2.09431349044412,0.161729076947681,1.78932007201798,1.83557998706649,1.98307917311036,2.09015189905976,2.20101178364438,2.36724298296356,2.42295510319672
"36",37,43,2.05760414934917,0.144883738602485,1.78341987412589,1.82523083004769,1.95811687790531,2.05420454516695,2.15338585427248,2.30157411231947,2.35110688206848
"37",38,44,1.81021232624601,0.123257828590466,1.57667607513516,1.61235348117736,1.72562201766933,1.80741554360826,1.89175412020186,2.01761146947315,2.05964152966157
"38",39,45,1.6217814165625,0.108434887923096,1.41620099669618,1.44763778971428,1.5473858802675,1.61936534807816,1.69354340926215,1.80416665417174,1.84109137744975
"39",40,46,1.45419464877668,0.0972297697754435,1.26985787970916,1.29804615200946,1.38748677454146,1.45202824470697,1.51854111661978,1.61773310953262,1.65084221686981
"40",41,47,1.24882302994347,0.0856302798725748,1.086619319299,1.1113899440174,1.19004928890737,1.24686638805795,1.30546401955199,1.39293055422537,1.42214551326108
"41",42,48,1.21469760153932,0.0805000583959669,1.06203247412425,1.08538837118604,1.15947557200498,1.21291977356603,1.2679817736806,1.35007129582682,1.37746541708614
"42",43,49,1.4231451061875,0.0839047988546021,1.26342904446269,1.28800300425468,1.3656894346418,1.4214965126895,1.47880374878666,1.56391080525544,1.59222957680507
"43",44,50,1.48697766312402,0.0838229562811604,1.32720794029791,1.35183931358933,1.42961431893733,1.48540288866293,1.54262443178492,1.62748779378897,1.65569633961445
"44",45,51,1.72422519748194,0.089194535752729,1.55381751417232,1.58018284246345,1.66325553897497,1.72268742418949,1.78351859352905,1.87351310369156,1.90337162386339
"45",46,52,1.66319607109015,0.0860374860797165,1.49881998507885,1.52425210989112,1.60438443985277,1.66171272743993,1.72039077134807,1.8071999166619,1.83600159147264
"46",47,53,1.5840697981087,0.0807641943675571,1.42971041011819,1.45360639688668,1.52887293508674,1.58269741554115,1.63777068148841,1.71921457869193,1.74622806668611
"47",48,54,1.47519394164726,0.0736961615309433,1.33427017541316,1.35610340481864,1.4248404227801,1.47396691196354,1.52420992098662,1.59847003757498,1.62309059633594
