"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.81933877091521,0.328409060509809,1.2335120391183,1.31489070468945,1.58840304384852,1.79961699499805,2.02879194237503,2.39107088183483,2.51719598304636
"2",3,9,1.37846726637391,0.237490341586389,0.95286998206818,1.0124343160929,1.2117325104424,1.36485277878573,1.53037098544978,1.79094755836589,1.88140519800584
"3",4,10,1.22921191258863,0.208701038696244,0.854685209443991,0.907220351018561,1.08276144533331,1.21742090695717,1.36281750185906,1.591429626115,1.67072123961487
"4",5,11,1.05218399612577,0.186909154203314,0.718232116239354,0.764743875130096,0.920823415866695,1.04113746494906,1.17151150241003,1.37731095398391,1.4488870549952
"5",6,12,1.12972599531473,0.19759031874587,0.776148684584672,0.825516483663597,0.990932718722174,1.11822752342862,1.2559936047169,1.47316400928032,1.54862260659743
"6",7,13,1.13211675069188,0.19504764487063,0.782579386718814,0.83149877852315,0.995179723083577,1.12093535391398,1.25687324586101,1.47088130410981,1.54517295510696
"7",8,14,0.963687842091571,0.176860676203914,0.648732288388937,0.692362876452895,0.839248044515045,0.95289025966791,1.07636634900853,1.2718507242032,1.3399786997229
"8",9,15,0.690596244946268,0.155632880118538,0.420002884113358,0.456031959111638,0.580249717979047,0.678940935624786,0.788252452100969,0.964928240264325,1.0273823976997
"9",10,16,0.636531466668041,0.172035531531903,0.345277875679704,0.382336677486506,0.513645704982115,0.621101657849553,0.742626368148246,0.943378478498689,1.01538807724919
"10",11,17,0.972795164960156,0.245589577282337,0.552553882626714,0.607016859192022,0.797868167807244,0.952208058296284,1.12531396409285,1.40882097150782,1.50993464707823
"11",12,18,0.907771741804954,0.236845840206489,0.504532044412159,0.556341131159164,0.73884189078113,0.887258505839166,1.05437617354345,1.3291993400078,1.42748345270807
"12",13,19,0.902196052462113,0.243836770935706,0.489384033237729,0.541909802111476,0.728022339295689,0.880326414690466,1.05257102418636,1.3371096070622,1.43917333703326
"13",14,20,1.3261520164743,0.306752887372101,0.79466067965978,0.865015974474684,1.10843413590443,1.30257675739959,1.51820281287483,1.86772754733321,1.99152708909685
"14",15,21,1.2701496738364,0.272725109640857,0.793037758732123,0.857222873341448,1.07714613512525,1.25068416182893,1.44195672213073,1.74949085954199,1.85781685697596
"15",16,22,1.05944481441929,0.232915340963325,0.653183945186756,0.707567812925271,0.894463585088031,1.0424260186946,1.2058948464592,1.46938891426577,1.56236188800117
